condition_id,domain,layer,condition_label,base_feature_count,feature_count,decoy_family,decoy_level,n_seeds,no_svd_auc_of_auroc_mean,no_svd_auc_of_auroc_std,best_svd_auc_of_auroc_mean,best_svd_auc_of_auroc_std,delta_auc_of_auroc_mean,delta_auc_of_auroc_std,no_svd_auc_of_selacc_mean,no_svd_auc_of_selacc_std,best_svd_auc_of_selacc_mean,best_svd_auc_of_selacc_std,delta_auc_of_selacc_mean,delta_auc_of_selacc_std,delta_auroc_at_100_mean,delta_auroc_at_100_std,delta_stop_acc_at_100_mean,delta_stop_acc_at_100_std,best_svd_rank_mode,best_svd_rank_hist
trajectory_only,coding,canonical,L1 trajectory-only,5,5,,,3,0.5243624919681258,0.0,0.5029297775776649,0.0,-0.021432714390460905,0.0,0.52125,0.0,0.4706249999999999,5.551115123125783e-17,-0.05062500000000003,0.0,-0.08613295937239596,0.0,-0.07999999999999996,0.0,4,"{""4"": 3}"
trajectory_only,math,canonical,L1 trajectory-only,5,5,,,3,0.9567108674313648,0.0,0.9563299911500563,0.0,-0.00038087628130845097,0.0,0.9961538461538462,0.0,0.9956043956043956,0.0,-0.0005494505494505475,0.0,-0.0033236366542199747,0.0,0.0,0.0,8,"{""8"": 3}"
trajectory_only,science,canonical,L1 trajectory-only,5,5,,,3,0.7806867298728685,1.1102230246251565e-16,0.72658260064853,1.1102230246251565e-16,-0.05410412922433849,0.0,0.9786458333333335,1.1102230246251565e-16,0.9872395833333334,0.0,0.008593749999999956,0.0,-0.07368301547821943,0.0,0.06666666666666665,0.0,8,"{""8"": 3}"
uncertainty_only,coding,canonical,L1 uncertainty-only,7,7,,,3,0.4864210906464426,5.551115123125783e-17,0.48721481960918583,0.0,0.0007937289627431565,0.0,0.37437499999999996,5.551115123125783e-17,0.37875,5.551115123125783e-17,0.004375000000000018,0.0,0.0008645501603248285,0.0,0.0,0.0,8,"{""8"": 3}"
uncertainty_only,math,canonical,L1 uncertainty-only,7,7,,,3,0.7473818648420867,0.0,0.7560725215835866,0.0,0.008690656741499936,0.0,0.9423076923076924,0.0,0.948901098901099,0.0,0.00659340659340657,0.0,-0.02736191821600953,0.0,0.0,0.0,8,"{""8"": 3}"
uncertainty_only,science,canonical,L1 uncertainty-only,7,7,,,3,0.791050610676756,1.1102230246251565e-16,0.7907502019709615,1.1102230246251565e-16,-0.00030040870579428613,0.0,0.959375,0.0,0.9567708333333331,0.0,-0.0026041666666668517,0.0,-0.0030723907068385126,0.0,0.016666666666666607,0.0,8,"{""8"": 3}"
token_only,coding,canonical,L1 token-only,11,11,,,3,0.40823745894168423,5.551115123125783e-17,0.4891519278843222,0.0,0.08091446894263793,0.0,0.3275,0.0,0.449375,5.551115123125783e-17,0.12187499999999996,0.0,0.03723975554961467,0.0,-0.040000000000000036,0.0,4,"{""4"": 3}"
token_only,math,canonical,L1 token-only,11,11,,,3,0.7731132780634279,0.0,0.7828832910820838,0.0,0.009770013018655876,0.0,0.948901098901099,0.0,0.9675824175824177,0.0,0.018681318681318726,0.0,0.008176526548230534,0.0,0.0,0.0,8,"{""8"": 3}"
token_only,science,canonical,L1 token-only,11,11,,,3,0.8359802409230662,1.1102230246251565e-16,0.8342420073488129,0.0,-0.0017382335742534005,0.0,0.9684895833333332,1.1102230246251565e-16,0.9682291666666666,0.0,-0.0002604166666667629,0.0,-0.0005922881933426716,0.0,1.1102230246251565e-16,0.0,12,"{""12"": 3}"
token_plus_trajectory,coding,canonical,L1 token + trajectory,16,16,,,3,0.47865436597830957,0.0,0.4897743101968454,5.551115123125783e-17,0.011119944218535793,0.0,0.488125,5.551115123125783e-17,0.48562500000000003,0.0,-0.0025000000000000022,0.0,-0.04756276587262498,0.0,-0.07999999999999996,0.0,4,"{""4"": 3}"
